iter	Passed	Remaining
0	0	50
1	1	53
2	1	49
3	1	46
4	2	45
5	2	45
6	3	44
7	3	43
8	4	42
9	4	41
10	5	41
11	5	40
12	5	39
13	6	38
14	6	37
15	6	36
16	7	35
17	7	35
18	8	34
19	8	33
20	8	33
21	9	32
22	9	31
23	9	31
24	10	31
25	10	30
26	11	29
27	11	29
28	11	28
29	12	28
30	12	27
31	12	27
32	13	26
33	13	26
34	13	25
35	14	25
36	14	24
37	15	24
38	15	24
39	15	23
40	16	23
41	16	22
42	16	21
43	16	21
44	17	21
45	17	20
46	18	20
47	18	19
48	18	19
49	19	19
50	19	18
51	19	18
52	20	17
53	20	17
54	20	16
55	21	16
56	21	16
57	21	15
58	22	15
59	22	15
60	22	14
61	23	14
62	23	13
63	23	13
64	24	13
65	24	12
66	25	12
67	25	11
68	25	11
69	26	11
70	26	10
71	26	10
72	27	10
73	27	9
74	27	9
75	28	8
76	28	8
77	29	8
78	29	7
79	29	7
80	30	7
81	30	6
82	30	6
83	31	5
84	31	5
85	31	5
86	32	4
87	32	4
88	32	4
89	33	3
90	33	3
91	34	2
92	34	2
93	34	2
94	35	1
95	35	1
96	35	1
97	36	0
98	36	0
99	37	0
